,index,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
37,466,10.3,0.5,0.42,2.0,0.069,21.0,51.0,0.9982,3.16,0.72,11.5,6.0
38,4139,,,,,,,,,,,,
39,4436,,,,,,,,,,,,
40,1152,8.3,0.6,0.25,2.2,0.11800000000000001,9.0,38.0,0.99616,3.15,0.53,9.8,5.0
41,1450,7.2,0.37,0.32,2.0,0.062,15.0,28.0,0.9947,3.23,0.73,11.3,7.0
42,3229,,,,,,,,,,,,
43,655,9.7,0.55,0.17,2.9,0.087,20.0,53.0,1.0004,3.14,0.61,9.4,5.0
44,973,8.5,0.34,0.44,1.7,0.079,6.0,12.0,0.99605,3.52,0.63,10.7,5.0
45,179,8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,5.0
46,766,8.8,0.59,0.18,2.9,0.08900000000000001,12.0,74.0,0.9973799999999999,3.14,0.54,9.4,5.0
47,2797,,,,,,,,,,,,
48,4261,,,,,,,,,,,,
49,3554,,,,,,,,,,,,
50,676,10.8,0.4,0.41,2.2,0.084,7.0,17.0,0.9984,3.08,0.67,9.3,6.0
51,2886,,,,,,,,,,,,
52,251,7.1,0.6,0.0,1.8,0.07400000000000001,16.0,34.0,0.9972,3.47,0.7,9.9,6.0
53,1150,8.2,0.33,0.32,2.8,0.067,4.0,12.0,0.9947299999999999,3.3,0.76,12.8,7.0
54,4778,,,,,,,,,,,,
55,639,8.9,0.29,0.35,1.9,0.067,25.0,57.0,0.997,3.18,1.36,10.3,6.0
56,2362,,,,,,,,,,,,
57,3307,,,,,,,,,,,,
58,2618,,,,,,,,,,,,
59,4459,,,,,,,,,,,,
60,145,8.1,0.67,0.55,1.8,0.11699999999999999,32.0,141.0,0.9968,3.17,0.62,9.4,5.0
61,2885,,,,,,,,,,,,
62,4142,,,,,,,,,,,,
63,4793,,,,,,,,,,,,
64,3407,,,,,,,,,,,,
65,423,10.5,0.24,0.47,2.1,0.066,6.0,24.0,0.9978,3.15,0.9,11.0,7.0
66,3510,,,,,,,,,,,,
67,3458,,,,,,,,,,,,
68,1497,6.9,0.74,0.03,2.3,0.054000000000000006,7.0,16.0,0.99508,3.45,0.63,11.5,6.0
69,1131,5.9,0.19,0.21,1.7,0.045,57.0,135.0,0.99341,3.32,0.44,9.5,5.0
70,2997,,,,,,,,,,,,
71,1729,,,,,,,,,,,,
72,1422,7.0,0.54,0.0,2.1,0.079,39.0,55.0,0.9956,3.39,0.84,11.4,6.0
73,2023,,,,,,,,,,,,
74,3138,,,,,,,,,,,,
75,2585,,,,,,,,,,,,
76,4566,,,,,,,,,,,,
77,1829,,,,,,,,,,,,
78,1274,7.8,0.58,0.13,2.1,0.102,17.0,36.0,0.9944,3.24,0.53,11.2,6.0
79,3776,,,,,,,,,,,,
80,4750,,,,,,,,,,,,
81,1263,8.2,0.78,0.0,2.2,0.08900000000000001,13.0,26.0,0.9978,3.37,0.46,9.6,4.0
82,3996,,,,,,,,,,,,
83,824,7.1,0.48,0.28,2.8,0.068,6.0,16.0,0.99682,3.24,0.53,10.3,5.0
84,3712,,,,,,,,,,,,
85,3613,,,,,,,,,,,,
86,3913,,,,,,,,,,,,
87,4198,,,,,,,,,,,,
88,1697,,,,,,,,,,,,
89,663,10.1,0.28,0.46,1.8,0.05,5.0,13.0,0.9974,3.04,0.79,10.2,6.0
90,3907,,,,,,,,,,,,
91,3716,,,,,,,,,,,,
92,4589,,,,,,,,,,,,
93,1516,6.1,0.32,0.25,2.3,0.071,23.0,58.0,0.9963299999999999,3.42,0.97,10.6,5.0
94,1996,,,,,,,,,,,,
95,2767,,,,,,,,,,,,
96,607,8.8,0.48,0.41,3.3,0.092,26.0,52.0,0.9982,3.31,0.53,10.5,6.0
97,3850,,,,,,,,,,,,
98,2434,,,,,,,,,,,,
99,15,8.9,0.62,0.19,3.9,0.17,51.0,148.0,0.9986,3.17,0.93,9.2,5.0
100,3972,,,,,,,,,,,,
101,4707,,,,,,,,,,,,
102,2572,,,,,,,,,,,,
103,29,7.8,0.645,0.0,2.0,0.08199999999999999,8.0,16.0,0.9964,3.38,0.59,9.8,6.0
104,557,15.6,0.645,0.49,4.2,0.095,10.0,23.0,1.00315,2.92,0.74,11.1,5.0
105,1529,7.1,0.69,0.08,2.1,0.063,42.0,52.0,0.99608,3.42,0.6,10.2,6.0
106,20,8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,6.0
107,872,7.3,0.35,0.24,2.0,0.067,28.0,48.0,0.9957600000000001,3.43,0.54,10.0,4.0
108,1349,6.9,0.57,0.0,2.8,0.081,21.0,41.0,0.99518,3.41,0.52,10.8,5.0
109,2816,,,,,,,,,,,,
110,2888,,,,,,,,,,,,
111,4397,,,,,,,,,,,,
112,1527,7.1,0.53,0.07,1.7,0.071,15.0,24.0,0.9951,3.29,0.66,10.8,6.0
113,2086,,,,,,,,,,,,
114,3990,,,,,,,,,,,,
115,3526,,,,,,,,,,,,
116,2884,,,,,,,,,,,,
117,547,10.6,0.31,0.49,2.5,0.067,6.0,21.0,0.9987,3.26,0.86,10.7,6.0
118,2151,,,,,,,,,,,,
119,369,9.4,0.27,0.53,2.4,0.07400000000000001,6.0,18.0,0.9962,3.2,1.13,12.0,7.0
120,3446,,,,,,,,,,,,
121,1571,6.4,0.38,0.14,2.2,0.038,15.0,25.0,0.9951399999999999,3.44,0.65,11.1,6.0
122,3272,,,,,,,,,,,,
123,3343,,,,,,,,,,,,
124,3796,,,,,,,,,,,,
125,234,8.2,1.0,0.09,2.3,0.065,7.0,37.0,0.99685,3.32,0.55,9.0,6.0
126,3910,,,,,,,,,,,,
127,304,8.4,0.65,0.6,2.1,0.11199999999999999,12.0,90.0,0.9973,3.2,0.52,9.2,5.0
128,1777,,,,,,,,,,,,
129,220,7.8,0.34,0.37,2.0,0.08199999999999999,24.0,58.0,0.9964,3.34,0.59,9.4,6.0
130,326,11.6,0.53,0.66,3.65,0.121,6.0,14.0,0.9978,3.05,0.74,11.5,7.0
131,1854,,,,,,,,,,,,
132,2613,,,,,,,,,,,,
133,3171,,,,,,,,,,,,
134,4103,,,,,,,,,,,,
135,859,6.8,0.56,0.22,1.8,0.07400000000000001,15.0,24.0,0.9943799999999999,3.4,0.82,11.2,6.0
136,1034,8.9,0.745,0.18,2.5,0.077,15.0,48.0,0.99739,3.2,0.47,9.7,6.0
137,4891,,,,,,,,,,,,
138,4460,,,,,,,,,,,,
139,2562,,,,,,,,,,,,
140,4237,,,,,,,,,,,,
141,22,7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5.0
142,210,9.7,0.53,0.6,2.0,0.039,5.0,19.0,0.99585,3.3,0.86,12.4,6.0
143,4525,,,,,,,,,,,,
144,2929,,,,,,,,,,,,
145,378,11.4,0.625,0.66,6.2,0.08800000000000001,6.0,24.0,0.9988,3.11,0.99,13.3,6.0
146,1740,,,,,,,,,,,,
147,1914,,,,,,,,,,,,
148,1334,7.2,0.835,0.0,2.0,0.166,4.0,11.0,0.99608,3.39,0.52,10.0,5.0
149,4561,,,,,,,,,,,,
150,1986,,,,,,,,,,,,
151,2169,,,,,,,,,,,,
152,1597,5.9,0.645,0.12,2.0,0.075,32.0,44.0,0.9954700000000001,3.57,0.71,10.2,5.0
153,2344,,,,,,,,,,,,
154,3945,,,,,,,,,,,,
155,881,7.6,0.715,0.0,2.1,0.068,30.0,35.0,0.9953299999999999,3.48,0.65,11.4,6.0
156,287,7.5,0.4,0.12,3.0,0.092,29.0,53.0,0.9967,3.37,0.7,10.3,6.0
157,286,12.0,0.45,0.55,2.0,0.073,25.0,49.0,0.9997,3.1,0.76,10.3,6.0
158,1335,6.6,0.58,0.02,2.4,0.069,19.0,40.0,0.99387,3.38,0.66,12.6,6.0
159,300,7.5,0.53,0.06,2.6,0.086,20.0,44.0,0.9965,3.38,0.59,10.7,6.0
160,4310,,,,,,,,,,,,
161,2859,,,,,,,,,,,,
162,4081,,,,,,,,,,,,
163,4434,,,,,,,,,,,,
164,1128,10.0,0.43,0.33,2.7,0.095,28.0,89.0,0.9984,3.22,0.68,10.0,5.0
165,2875,,,,,,,,,,,,
166,4168,,,,,,,,,,,,
167,641,9.5,0.59,0.44,2.3,0.071,21.0,68.0,0.9992,3.46,0.63,9.5,5.0
168,3369,,,,,,,,,,,,
169,4252,,,,,,,,,,,,
170,4116,,,,,,,,,,,,
171,1442,6.9,0.63,0.02,1.9,0.078,18.0,30.0,0.9971200000000001,3.4,0.75,9.8,5.0
172,1933,,,,,,,,,,,,
173,909,7.3,0.305,0.39,1.2,0.059000000000000004,7.0,11.0,0.99331,3.29,0.52,11.5,6.0
174,3084,,,,,,,,,,,,
175,4665,,,,,,,,,,,,
176,150,7.3,0.33,0.47,2.1,0.077,5.0,11.0,0.9958,3.33,0.53,10.3,6.0
177,3821,,,,,,,,,,,,
178,3916,,,,,,,,,,,,
179,151,9.2,0.52,1.0,3.4,0.61,32.0,69.0,0.9996,2.74,2.0,9.4,4.0
180,983,9.1,0.5,0.3,1.9,0.065,8.0,17.0,0.99774,3.32,0.71,10.5,6.0
181,2097,,,,,,,,,,,,
182,4411,,,,,,,,,,,,
183,3748,,,,,,,,,,,,
184,1136,10.4,0.52,0.45,2.0,0.08,6.0,13.0,0.99774,3.22,0.76,11.4,6.0
185,672,9.8,1.24,0.34,2.0,0.079,32.0,151.0,0.998,3.15,0.53,9.5,5.0
186,3533,,,,,,,,,,,,
187,1972,,,,,,,,,,,,
188,3188,,,,,,,,,,,,
189,4531,,,,,,,,,,,,
190,1559,7.8,0.6,0.26,2.0,0.08,31.0,131.0,0.9962200000000001,3.21,0.52,9.9,5.0
191,954,7.6,0.43,0.4,2.7,0.08199999999999999,6.0,11.0,0.9953799999999999,3.44,0.54,12.2,6.0
192,2000,,,,,,,,,,,,
193,780,7.0,0.57,0.0,2.0,0.19,12.0,45.0,0.9967600000000001,3.31,0.6,9.4,6.0
194,76,8.8,0.41,0.64,2.2,0.09300000000000001,9.0,42.0,0.9986,3.54,0.66,10.5,5.0
195,3656,,,,,,,,,,,,
196,2700,,,,,,,,,,,,
197,337,7.8,0.43,0.32,2.8,0.08,29.0,58.0,0.9974,3.31,0.64,10.3,5.0
198,3345,,,,,,,,,,,,
199,3034,,,,,,,,,,,,
200,4530,,,,,,,,,,,,
201,2334,,,,,,,,,,,,
202,1869,,,,,,,,,,,,
203,2567,,,,,,,,,,,,
204,4348,,,,,,,,,,,,
205,4277,,,,,,,,,,,,
206,4522,,,,,,,,,,,,
207,1284,7.0,0.42,0.19,2.3,0.071,18.0,36.0,0.9947600000000001,3.39,0.56,10.9,5.0
208,725,9.0,0.66,0.17,3.0,0.077,5.0,13.0,0.9976,3.29,0.55,10.4,5.0
209,932,7.6,0.4,0.29,1.9,0.078,29.0,66.0,0.9971,3.45,0.59,9.5,6.0
210,4486,,,,,,,,,,,,
211,828,7.8,0.57,0.09,2.3,0.065,34.0,45.0,0.9941700000000001,3.46,0.74,12.7,8.0
212,2880,,,,,,,,,,,,
213,980,9.1,0.5,0.3,1.9,0.065,8.0,17.0,0.99774,3.32,0.71,10.5,6.0
214,2529,,,,,,,,,,,,
215,3915,,,,,,,,,,,,
216,622,10.0,0.58,0.22,1.9,0.08,9.0,32.0,0.9974,3.13,0.55,9.5,5.0
217,3083,,,,,,,,,,,,
218,361,8.6,0.45,0.31,2.6,0.086,21.0,50.0,0.9982,3.37,0.91,9.9,6.0
219,3013,,,,,,,,,,,,
220,1592,6.3,0.51,0.13,2.3,0.076,29.0,40.0,0.99574,3.42,0.75,11.0,6.0
221,2563,,,,,,,,,,,,
222,3627,,,,,,,,,,,,
223,1160,10.6,0.36,0.57,2.3,0.087,6.0,20.0,0.9967600000000001,3.14,0.72,11.1,7.0
224,604,8.3,0.58,0.13,2.9,0.096,14.0,63.0,0.9984,3.17,0.62,9.1,6.0
225,4416,,,,,,,,,,,,
226,3806,,,,,,,,,,,,
227,2626,,,,,,,,,,,,
228,621,8.2,0.56,0.23,3.4,0.078,14.0,104.0,0.9976,3.28,0.62,9.4,5.0
229,1108,8.1,0.78,0.1,3.3,0.09,4.0,13.0,0.99855,3.36,0.49,9.5,5.0
230,455,11.3,0.62,0.67,5.2,0.086,6.0,19.0,0.9988,3.22,0.69,13.4,8.0
231,2163,,,,,,,,,,,,
232,4493,,,,,,,,,,,,
233,2780,,,,,,,,,,,,
234,2526,,,,,,,,,,,,
235,2721,,,,,,,,,,,,
236,3847,,,,,,,,,,,,
237,1808,,,,,,,,,,,,
238,391,13.7,0.415,0.68,2.9,0.085,17.0,43.0,1.0014,3.06,0.8,10.0,6.0
239,3875,,,,,,,,,,,,
240,3880,,,,,,,,,,,,
241,1032,8.1,0.82,0.0,4.1,0.095,5.0,14.0,0.99854,3.36,0.53,9.6,5.0
242,3304,,,,,,,,,,,,
243,2636,,,,,,,,,,,,
244,2225,,,,,,,,,,,,
245,3153,,,,,,,,,,,,
246,46,7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,5.0
247,1017,8.0,0.18,0.37,0.9,0.049,36.0,109.0,0.9900700000000001,2.89,0.44,12.7,6.0
248,2459,,,,,,,,,,,,
249,2910,,,,,,,,,,,,
250,2106,,,,,,,,,,,,
251,3947,,,,,,,,,,,,
252,3654,,,,,,,,,,,,
253,2182,,,,,,,,,,,,
254,3630,,,,,,,,,,,,
255,4518,,,,,,,,,,,,
256,918,8.4,0.36,0.32,2.2,0.081,32.0,79.0,0.9964,3.3,0.72,11.0,6.0
257,733,7.0,0.45,0.34,2.7,0.08199999999999999,16.0,72.0,0.998,3.55,0.6,9.5,5.0
258,168,6.8,0.63,0.07,2.1,0.08900000000000001,11.0,44.0,0.9953,3.47,0.55,10.4,6.0
259,472,12.5,0.37,0.55,2.6,0.083,25.0,68.0,0.9995,3.15,0.82,10.4,6.0
260,4867,,,,,,,,,,,,
261,407,12.0,0.39,0.66,3.0,0.09300000000000001,12.0,30.0,0.9996,3.18,0.63,10.8,7.0
262,135,8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,5.0
263,268,6.9,0.54,0.04,3.0,0.077,7.0,27.0,0.9987,3.69,0.91,9.4,6.0
264,687,9.1,0.64,0.23,3.1,0.095,13.0,38.0,0.9998,3.28,0.59,9.7,5.0
265,1630,,,,,,,,,,,,
266,2199,,,,,,,,,,,,
267,2693,,,,,,,,,,,,
268,3208,,,,,,,,,,,,
269,3940,,,,,,,,,,,,
270,1737,,,,,,,,,,,,
271,278,10.3,0.32,0.45,6.4,0.073,5.0,13.0,0.9976,3.23,0.82,12.6,8.0
272,2841,,,,,,,,,,,,
273,4767,,,,,,,,,,,,
274,850,9.3,0.43,0.44,1.9,0.085,9.0,22.0,0.99708,3.28,0.55,9.5,5.0
275,1723,,,,,,,,,,,,
276,2231,,,,,,,,,,,,
277,4372,,,,,,,,,,,,
278,2131,,,,,,,,,,,,
279,35,7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,6.0
280,4581,,,,,,,,,,,,
281,4875,,,,,,,,,,,,
282,2854,,,,,,,,,,,,
283,1820,,,,,,,,,,,,
284,4260,,,,,,,,,,,,
285,4644,,,,,,,,,,,,
286,3464,,,,,,,,,,,,
287,754,7.8,0.48,0.68,1.7,0.415,14.0,32.0,0.99656,3.09,1.06,9.1,6.0
288,2205,,,,,,,,,,,,
289,2243,,,,,,,,,,,,
290,4181,,,,,,,,,,,,
291,1844,,,,,,,,,,,,
292,73,8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,4.0
293,541,9.5,0.46,0.49,6.3,0.064,5.0,17.0,0.9988,3.21,0.73,11.0,6.0
294,3337,,,,,,,,,,,,
295,1588,7.2,0.66,0.33,2.5,0.068,34.0,102.0,0.9941399999999999,3.27,0.78,12.8,6.0
296,1536,6.1,0.53,0.08,1.9,0.077,24.0,45.0,0.9952799999999999,3.6,0.68,10.3,6.0
297,1446,6.9,0.63,0.02,1.9,0.078,18.0,30.0,0.9971200000000001,3.4,0.75,9.8,5.0
298,132,5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,5.0
299,2200,,,,,,,,,,,,
300,230,5.2,0.48,0.04,1.6,0.054000000000000006,19.0,106.0,0.9927,3.54,0.62,12.2,7.0
301,140,8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,5.0
302,2685,,,,,,,,,,,,
303,1982,,,,,,,,,,,,
304,2355,,,,,,,,,,,,
305,2709,,,,,,,,,,,,
306,3030,,,,,,,,,,,,
307,1609,,,,,,,,,,,,
308,2298,,,,,,,,,,,,
309,4005,,,,,,,,,,,,
310,2724,,,,,,,,,,,,
311,2896,,,,,,,,,,,,
312,1053,8.3,0.33,0.42,2.3,0.07,9.0,20.0,0.99426,3.38,0.77,12.7,7.0
313,1839,,,,,,,,,,,,
314,3258,,,,,,,,,,,,
315,3491,,,,,,,,,,,,
316,4305,,,,,,,,,,,,
317,3814,,,,,,,,,,,,
318,1405,7.7,0.28,0.3,2.0,0.062,18.0,34.0,0.9952,3.28,0.9,11.3,7.0
319,1162,8.5,0.32,0.42,2.3,0.075,12.0,19.0,0.99434,3.14,0.71,11.8,7.0
320,941,9.9,0.27,0.49,5.0,0.08199999999999999,9.0,17.0,0.99484,3.19,0.52,12.5,7.0
321,1891,,,,,,,,,,,,
322,117,7.8,0.56,0.12,2.0,0.08199999999999999,7.0,28.0,0.997,3.37,0.5,9.4,6.0
323,836,6.7,0.28,0.28,2.4,0.012,36.0,100.0,0.99064,3.26,0.39,11.7,7.0
324,1710,,,,,,,,,,,,
325,4738,,,,,,,,,,,,
326,1083,8.7,0.42,0.45,2.4,0.07200000000000001,32.0,59.0,0.9961700000000001,3.33,0.77,12.0,6.0
327,1185,7.0,0.43,0.3,2.0,0.085,6.0,39.0,0.99346,3.33,0.46,11.9,6.0
328,3906,,,,,,,,,,,,
329,114,7.8,0.56,0.19,1.8,0.10400000000000001,12.0,47.0,0.9964,3.19,0.93,9.5,5.0
330,2369,,,,,,,,,,,,
331,2132,,,,,,,,,,,,
332,4221,,,,,,,,,,,,
333,3592,,,,,,,,,,,,
334,4458,,,,,,,,,,,,
335,2949,,,,,,,,,,,,
336,1798,,,,,,,,,,,,
337,3831,,,,,,,,,,,,
338,4284,,,,,,,,,,,,
339,2973,,,,,,,,,,,,
340,2555,,,,,,,,,,,,
341,43,8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,10.3,5.0
342,1700,,,,,,,,,,,,
343,1583,6.2,0.46,0.29,2.1,0.07400000000000001,32.0,98.0,0.9957799999999999,3.33,0.62,9.8,5.0
344,1724,,,,,,,,,,,,
345,3235,,,,,,,,,,,,
346,821,4.9,0.42,0.0,2.1,0.048,16.0,42.0,0.99154,3.71,0.74,14.0,7.0
347,2807,,,,,,,,,,,,
348,1948,,,,,,,,,,,,
349,2321,,,,,,,,,,,,
350,3129,,,,,,,,,,,,
351,2209,,,,,,,,,,,,
352,4571,,,,,,,,,,,,
353,2386,,,,,,,,,,,,
354,3349,,,,,,,,,,,,
355,3061,,,,,,,,,,,,
356,487,10.2,0.645,0.36,1.8,0.053,5.0,14.0,0.9982,3.17,0.42,10.0,6.0
357,1656,,,,,,,,,,,,
358,285,9.9,0.59,0.07,3.4,0.102,32.0,71.0,1.00015,3.31,0.71,9.8,5.0
359,488,11.6,0.32,0.55,2.8,0.081,35.0,67.0,1.0002,3.32,0.92,10.8,7.0
360,1232,7.6,0.43,0.29,2.1,0.075,19.0,66.0,0.99718,3.4,0.64,9.5,5.0
361,3768,,,,,,,,,,,,
362,1518,7.4,0.47,0.46,2.2,0.114,7.0,20.0,0.9964700000000001,3.32,0.63,10.5,5.0
363,3519,,,,,,,,,,,,
364,4678,,,,,,,,,,,,
365,2488,,,,,,,,,,,,
366,956,9.0,0.36,0.52,2.1,0.111,5.0,10.0,0.9956799999999999,3.31,0.62,11.3,6.0
367,2258,,,,,,,,,,,,
368,4205,,,,,,,,,,,,
369,4752,,,,,,,,,,,,
370,2198,,,,,,,,,,,,
371,3226,,,,,,,,,,,,
372,1139,8.2,0.51,0.24,2.0,0.079,16.0,86.0,0.99764,3.34,0.64,9.5,6.0
373,2826,,,,,,,,,,,,
374,1539,7.2,0.39,0.32,1.8,0.065,34.0,60.0,0.9971399999999999,3.46,0.78,9.9,5.0
375,2183,,,,,,,,,,,,
376,1693,,,,,,,,,,,,
377,389,9.6,0.38,0.31,2.5,0.096,16.0,49.0,0.9982,3.19,0.7,10.0,7.0
378,2128,,,,,,,,,,,,
379,4737,,,,,,,,,,,,
380,4163,,,,,,,,,,,,
381,2915,,,,,,,,,,,,
382,1815,,,,,,,,,,,,
383,4716,,,,,,,,,,,,
384,396,6.6,0.735,0.02,7.9,0.122,68.0,124.0,0.9994,3.47,0.53,9.9,5.0
385,1369,6.6,0.61,0.0,1.6,0.069,4.0,8.0,0.9939600000000001,3.33,0.37,10.4,4.0
386,2845,,,,,,,,,,,,
387,3556,,,,,,,,,,,,
388,552,9.5,0.46,0.24,2.7,0.092,14.0,44.0,0.998,3.12,0.74,10.0,6.0
389,367,10.4,0.575,0.61,2.6,0.076,11.0,24.0,1.0,3.16,0.69,9.0,5.0
390,4183,,,,,,,,,,,,
391,174,7.3,0.38,0.21,2.0,0.08,7.0,35.0,0.9961,3.33,0.47,9.5,5.0
392,1535,7.0,0.55,0.13,2.2,0.075,15.0,35.0,0.9959,3.36,0.59,9.7,6.0
393,1522,6.1,0.32,0.25,2.3,0.071,23.0,58.0,0.9963299999999999,3.42,0.97,10.6,5.0
394,3503,,,,,,,,,,,,
395,4659,,,,,,,,,,,,
396,817,10.8,0.29,0.42,1.6,0.084,19.0,27.0,0.99545,3.28,0.73,11.9,6.0
397,1123,10.7,0.4,0.37,1.9,0.081,17.0,29.0,0.99674,3.12,0.65,11.2,6.0
398,4056,,,,,,,,,,,,
399,2310,,,,,,,,,,,,
400,4225,,,,,,,,,,,,
401,2951,,,,,,,,,,,,
402,3959,,,,,,,,,,,,
403,3894,,,,,,,,,,,,
404,4603,,,,,,,,,,,,
405,2592,,,,,,,,,,,,
406,4649,,,,,,,,,,,,
407,2582,,,,,,,,,,,,
408,2464,,,,,,,,,,,,
409,1959,,,,,,,,,,,,
410,4316,,,,,,,,,,,,
411,1477,5.3,0.47,0.11,2.2,0.048,16.0,89.0,0.99182,3.54,0.88,13.6,7.0
412,3490,,,,,,,,,,,,
413,3997,,,,,,,,,,,,
414,1493,7.7,0.54,0.26,1.9,0.08900000000000001,23.0,147.0,0.99636,3.26,0.59,9.7,5.0
415,4895,,,,,,,,,,,,
416,2603,,,,,,,,,,,,
417,4426,,,,,,,,,,,,
418,1358,7.4,0.64,0.17,5.4,0.168,52.0,98.0,0.99736,3.28,0.5,9.5,5.0
419,1598,6.0,0.31,0.47,3.6,0.067,18.0,42.0,0.99549,3.39,0.66,11.0,6.0
420,3442,,,,,,,,,,,,
421,2445,,,,,,,,,,,,
422,4507,,,,,,,,,,,,
423,2897,,,,,,,,,,,,
424,2753,,,,,,,,,,,,
425,1167,8.2,0.33,0.39,2.5,0.07400000000000001,29.0,48.0,0.9952799999999999,3.32,0.88,12.4,7.0
426,635,8.7,0.84,0.0,1.4,0.065,24.0,33.0,0.9954,3.27,0.55,9.7,5.0
427,4776,,,,,,,,,,,,
428,1850,,,,,,,,,,,,
429,1636,,,,,,,,,,,,
430,1985,,,,,,,,,,,,
431,265,11.8,0.26,0.52,1.8,0.071,6.0,10.0,0.9968,3.2,0.72,10.2,7.0
432,75,8.8,0.41,0.64,2.2,0.09300000000000001,9.0,42.0,0.9986,3.54,0.66,10.5,5.0
433,2435,,,,,,,,,,,,
434,4606,,,,,,,,,,,,
435,3135,,,,,,,,,,,,
436,3573,,,,,,,,,,,,
437,4648,,,,,,,,,,,,
438,482,10.6,0.36,0.59,2.2,0.152,6.0,18.0,0.9986,3.04,1.05,9.4,5.0
439,4217,,,,,,,,,,,,
440,2395,,,,,,,,,,,,
441,4759,,,,,,,,,,,,
442,4286,,,,,,,,,,,,
443,4782,,,,,,,,,,,,
444,1595,5.9,0.55,0.1,2.2,0.062,39.0,51.0,0.9951200000000001,3.52,0.76,11.2,6.0
445,1489,6.2,0.57,0.1,2.1,0.048,4.0,11.0,0.9944799999999999,3.44,0.76,10.8,6.0
446,4528,,,,,,,,,,,,
447,1391,8.0,0.64,0.22,2.4,0.094,5.0,33.0,0.9961200000000001,3.37,0.58,11.0,5.0
448,4027,,,,,,,,,,,,
449,2710,,,,,,,,,,,,
450,1872,,,,,,,,,,,,
451,3230,,,,,,,,,,,,
452,2809,,,,,,,,,,,,
453,620,8.3,0.54,0.24,3.4,0.076,16.0,112.0,0.9976,3.27,0.61,9.4,5.0
454,1457,7.6,0.49,0.33,1.9,0.07400000000000001,27.0,85.0,0.9970600000000001,3.41,0.58,9.0,5.0
455,4485,,,,,,,,,,,,
456,2739,,,,,,,,,,,,
457,3225,,,,,,,,,,,,
458,1997,,,,,,,,,,,,
459,1818,,,,,,,,,,,,
460,2318,,,,,,,,,,,,
461,1908,,,,,,,,,,,,
462,1029,7.7,0.58,0.01,1.8,0.08800000000000001,12.0,18.0,0.9956799999999999,3.32,0.56,10.5,7.0
463,2119,,,,,,,,,,,,
464,2543,,,,,,,,,,,,
465,4039,,,,,,,,,,,,
466,4155,,,,,,,,,,,,
467,2716,,,,,,,,,,,,
